PMCID,Ebola Protein,Interaction,Host Protein
PMC6300876,GP,form,GP2
PMC6300876,GP,cleave,furin
PMC6300876,GP,form,furin
PMC6300876,GP,target,GP2
PMC10828234,NP,recruit,NXF1
PMC10828234,NP,express,NXF1
PMC10828234,NP,facilitate,NXF1
PMC10828234,L,interact,CREB1
PMC10828234,L,recruit,CREB1
PMC10828234,VP35,ubiquitinate,TRIM6
PMC10828234,VP35,promote,TRIM6
PMC10828234,GP,bind,NPC1
PMC10828234,GP,change,NPC1
PMC10828234,VP30,phosphorylate,SRPK1
PMC10828234,VP30,dephosphorylate,SRPK1
PMC10828234,VP30,mediate,SRPK1
PMC10828234,VP30,phosphorylate,SRPK2
PMC10828234,VP30,dephosphorylate,SRPK2
PMC10828234,VP30,mediate,SRPK2
PMC10828234,VP30,recruit,SRPK1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,cleave,NPC1
PMC10828234,GP,promote,NPC1
PMC10828234,GP,bind,ASGR1
PMC10828234,GP,bind,CD209
PMC10828234,GP,bind,CLEC4M
PMC10828234,GP,bind,CLEC10A
PMC10828234,GP,bind,CLEC4G
PMC10828234,GP,activate,Xkr8
PMC10828234,GP,transport,Xkr8
PMC10828234,GP,express,NPC1
PMC10828234,GP,transport,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,bind,NPC1
PMC10828234,GP,induce,NPC1
PMC10828234,GP,change,NPC1
PMC10828234,VP40,interact,TSG101
PMC10828234,GP,transport,Xkr8
PMC10828234,GP,bind,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,block,NPC1
PMC10828234,GP,recruit,Xkr8
PMC10828234,NP,recruit,CAD
PMC10828234,GP,interact,NPC1
PMC10828234,GP,inhibit,NPC1
PMC10828234,GP,disrupt,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,inhibit,NPC1
PMC10828234,GP,prevent,NPC1
PMC10828234,L,interact,HAVCR1
PMC10828234,L,block,HAVCR1
PMC10828234,L,prevent,HAVCR1
PMC10828234,L,interact,NPC1
PMC10828234,L,block,NPC1
PMC10828234,L,prevent,NPC1
PMC10828234,GP,bind,NPC1
PMC10828234,GP,inhibit,NPC1
PMC10828234,GP,cleave,NPC1
PMC10828234,GP,prevent,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,inhibit,NPC1
PMC10828234,GP,block,NPC1
PMC10828234,GP,bind,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,perturb,NPC1
PMC10828234,GP,bind,NPC1
PMC10828234,GP,interact,NPC1
PMC10828234,GP,destabilize,NPC1
PMC6893830,GP,interact,TLR4
PMC6893830,GP,signal,TLR4
PMC10101120,GP,change,Ids
PMC10101120,GP,change,ST13
PMC10101120,GP,change,ST14
PMC10101120,GP,change,ST18
PMC10101120,GP,change,ST18
PMC10101120,GP,change,AGT
PMC10101120,GP,change,ST13
PMC10101120,GP,change,ST14
PMC10101120,GP,change,AGT
PMC10101120,GP,change,AGT
PMC10101120,GP,change,AGT
PMC9462474,GP,attach,GP2
PMC9462474,GP,target,GP2
PMC9462474,VP40,stimulate,CD14
PMC9462474,VP40,stimulate,CD14
PMC9462474,VP40,express,CD14
PMC9462474,VP40,stimulate,CD14
PMC9462474,VP40,express,CD14
PMC9462474,VP40,stimulate,CD14
PMC9462474,VP40,activate,CD14
PMC9462474,VP40,activate,CD14
PMC9462474,VP40,respond,CD14
PMC9462474,VP40,activate,CD14
PMC9462474,VP40,enhance,CD14
PMC9462474,VP40,mediate,CD14
PMC5007819,GP,bind,NPC1
PMC4169258,NP,control,PC
PMC8531761,VP24,interact,Sec13
PMC8531761,VP24,transport,Sec13
PMC8531761,VP24,regulate,Sec13
PMC8531761,VP24,interact,SMARCC2
PMC8531761,VP24,transport,SMARCC2
PMC8531761,VP24,regulate,SMARCC2
PMC8531761,VP24,interact,RPN1
PMC8531761,VP24,target,RPN1
PMC8531761,VP24,interact,RPN1
PMC8531761,VP24,target,RPN1
PMC8531761,VP24,interact,RPN1
PMC8531761,VP24,target,RPN1
PMC8531761,VP24,interact,SMARCC2
PMC8531761,VP24,target,SMARCC2
PMC8531761,VP24,interact,SMARCC2
PMC8531761,VP24,target,SMARCC2
PMC12004191,GP,interact,NPC1
PMC12004191,GP,trigger,NPC1
PMC12004191,GP,interact,NPC1
PMC12004191,GP,interact,NPC1
PMC12004191,GP,bind,NPC1
