Source,Relation,Target
AKT1,involved_in(Reactome),VEGFA-VEGFR2 Pathway
AKT1,involved_in(Reactome),Signaling by Interleukins
AKT1,involved_in(Reactome),Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA
AKT1,involved_in(Reactome),Regulation of mRNA stability by proteins that bind AU-rich elements
AKT1,involved_in(Reactome),KSRP (KHSRP) binds and destabilizes mRNA
AKT1,involved_in(Reactome),Mitotic G1 phase and G1/S transition
AKT1,involved_in(Reactome),VEGFR2 mediated vascular permeability
AKT1,involved_in(Reactome),Programmed Cell Death
AKT1,involved_in(Reactome),TP53 Regulates Metabolic Genes
AKT1,involved_in(Reactome),Regulation of TP53 Activity
